country_codeifs;country_name;wbcode
213;Argentina;ARG
918;Bulgaria;BGR
223;Brazil;BRA
228;Chile;CHL
924;CHINA,P.R.: MAINLAND;CHN
662;Cote D'Ivoire;CIV
233;Colombia;COL
243;Dominican Republic;DOM
612;Algeria;DZA
248;Ecuador;ECU
469;Egypt;EGY
174;Greece;GRC
960;Croatia;HRV
944;Hungary;HUN
536;Indonesia;IDN
542;Korea;KOR
446;Lebanon;LBN
686;Morocco;MAR
273;Mexico;MEX
548;Malaysia;MYS
694;Nigeria;NGA
564;Pakistan;PAK
283;Panama;PAN
293;Peru;PER
566;Philippines;PHL
964;Poland;POL
922;Russia;RUS
253;El Salvador;SLV
578;Thailand;THA
744;Tunisia;TUN
186;Turkey;TUR
926;Ukraine;UKR
298;Uruguay;URY
299;Venezuela;VEN
199;South Africa;ZAF
